product;vendor
"{""name"":""EZ-Quit"",""description"":""Maternal care for oth rhesus isoimmun, second tri, fetus 1"",""detail"":{""price"":3021.53,""image"":""http://dummyimage.com/163x100.png/ff4444/ffffff"",""size"":""M"",""color"":""Puce""},""vendor"":{""name"":""Izio"",""contactNum"":94551898815,""address"":""4784 Eliot Alley""},""variants"":[{""detail"":{""price"":7178.11,""image"":""http://dummyimage.com/175x100.png/cc0000/ffffff"",""size"":""XS"",""color"":""Fuscia""}},{""detail"":{""price"":6586.14,""image"":""http://dummyimage.com/137x100.png/dddddd/000000"",""size"":""M"",""color"":""Green""}},{""detail"":{""price"":4727.69,""image"":""http://dummyimage.com/223x100.png/cc0000/ffffff"",""size"":""2XL"",""color"":""Fuscia""}},{""detail"":{""price"":2648.5,""image"":""http://dummyimage.com/232x100.png/ff4444/ffffff"",""size"":""2XL"",""color"":""Mauv""}}],""categories"":[{""name"":""CN""},{""name"":""ID""},{""name"":""BR""}]}";"{""name"":""Twimm"",""contactNum"":11471473462,""address"":""53 Garrison Hill""}"
"{""name"":""Trazodone Hydrochloride"",""description"":""Mechanical loosening of other internal prosthetic joint"",""detail"":{""price"":8916.87,""image"":""http://dummyimage.com/115x100.png/cc0000/ffffff"",""size"":""3XL"",""color"":""Teal""},""vendor"":{""name"":""JumpXS"",""contactNum"":74668102088,""address"":""35 Amoth Point""},""variants"":[{""detail"":{""price"":5332.8,""image"":""http://dummyimage.com/101x100.png/ff4444/ffffff"",""size"":""XL"",""color"":""Maroon""}},{""detail"":{""price"":9465.53,""image"":""http://dummyimage.com/200x100.png/5fa2dd/ffffff"",""size"":""3XL"",""color"":""Green""}},{""detail"":{""price"":9971.69,""image"":""http://dummyimage.com/208x100.png/dddddd/000000"",""size"":""M"",""color"":""Purple""}},{""detail"":{""price"":6281.54,""image"":""http://dummyimage.com/250x100.png/ff4444/ffffff"",""size"":""XL"",""color"":""Violet""}}],""categories"":[{""name"":""CN""},{""name"":""AL""},{""name"":""ID""}]}";"{""name"":""Bluejam"",""contactNum"":61245383828,""address"":""511 Mariners Cove Center""}"
"{""name"":""Butalbital, Acetaminophen and Caffeine"",""description"":""Unsp pedl cyclst inj in clsn w rail trn/veh in traf, init"",""detail"":{""price"":890.4,""image"":""http://dummyimage.com/130x100.png/5fa2dd/ffffff"",""size"":""S"",""color"":""Indigo""},""vendor"":{""name"":""Jabbertype"",""contactNum"":92034324468,""address"":""320 Clyde Gallagher Hill""},""variants"":[{""detail"":{""price"":1791.71,""image"":""http://dummyimage.com/184x100.png/cc0000/ffffff"",""size"":""XS"",""color"":""Orange""}},{""detail"":{""price"":2325.97,""image"":""http://dummyimage.com/138x100.png/dddddd/000000"",""size"":""2XL"",""color"":""Orange""}},{""detail"":{""price"":5551.18,""image"":""http://dummyimage.com/116x100.png/dddddd/000000"",""size"":""L"",""color"":""Aquamarine""}},{""detail"":{""price"":9147.08,""image"":""http://dummyimage.com/106x100.png/cc0000/ffffff"",""size"":""S"",""color"":""Violet""}}],""categories"":[{""name"":""ID""},{""name"":""ID""}]}";"{""name"":""Tekfly"",""contactNum"":44808079975,""address"":""15 Gateway Court""}"
"{""name"":""MEDICATED CHEST RUB"",""description"":""Poisoning by unsp psychodysleptics, assault, subs encntr"",""detail"":{""price"":1605.27,""image"":""http://dummyimage.com/203x100.png/ff4444/ffffff"",""size"":""S"",""color"":""Indigo""},""vendor"":{""name"":""Livepath"",""contactNum"":66624129654,""address"":""46 Coolidge Avenue""},""variants"":[{""detail"":{""price"":1262.68,""image"":""http://dummyimage.com/125x100.png/dddddd/000000"",""size"":""XS"",""color"":""Crimson""}}],""categories"":[{""name"":""ID""}]}";"{""name"":""Wikido"",""contactNum"":33156770397,""address"":""8431 Larry Trail""}"
"{""name"":""Childrens Pain Relief"",""description"":""Fracture of mandible, unspecified"",""detail"":{""price"":7619.69,""image"":""http://dummyimage.com/110x100.png/5fa2dd/ffffff"",""size"":""XL"",""color"":""Blue""},""vendor"":{""name"":""Linkbuzz"",""contactNum"":52280749653,""address"":""56 Southridge Park""},""variants"":[{""detail"":{""price"":9551.52,""image"":""http://dummyimage.com/143x100.png/5fa2dd/ffffff"",""size"":""XS"",""color"":""Puce""}}],""categories"":[{""name"":""PL""},{""name"":""BR""}]}";"{""name"":""Wikizz"",""contactNum"":54088353354,""address"":""57114 Larry Street""}"
"{""name"":""Lidocaine Hydrochloride"",""description"":""Fibrosis due to other internal prosth dev/grft"",""detail"":{""price"":652.9,""image"":""http://dummyimage.com/191x100.png/ff4444/ffffff"",""size"":""2XL"",""color"":""Indigo""},""vendor"":{""name"":""Jabberstorm"",""contactNum"":41706531986,""address"":""14527 Main Plaza""},""variants"":[{""detail"":{""price"":5529.18,""image"":""http://dummyimage.com/127x100.png/dddddd/000000"",""size"":""2XL"",""color"":""Puce""}},{""detail"":{""price"":3440.06,""image"":""http://dummyimage.com/202x100.png/dddddd/000000"",""size"":""XS"",""color"":""Green""}},{""detail"":{""price"":8446.79,""image"":""http://dummyimage.com/152x100.png/cc0000/ffffff"",""size"":""S"",""color"":""Fuscia""}},{""detail"":{""price"":563.6,""image"":""http://dummyimage.com/144x100.png/5fa2dd/ffffff"",""size"":""XS"",""color"":""Crimson""}}],""categories"":[{""name"":""HR""},{""name"":""VN""},{""name"":""BR""}]}";"{""name"":""Gigaclub"",""contactNum"":61526171216,""address"":""9010 Memorial Lane""}"
"{""name"":""CENTER-AL - JUGLANS CALIFORNICA POLLEN"",""description"":""Displacement of internal prosth dev/grft, init"",""detail"":{""price"":9946.17,""image"":""http://dummyimage.com/182x100.png/5fa2dd/ffffff"",""size"":""2XL"",""color"":""Aquamarine""},""vendor"":{""name"":""Eayo"",""contactNum"":85791340913,""address"":""771 Sommers Trail""},""variants"":[{""detail"":{""price"":6887.79,""image"":""http://dummyimage.com/168x100.png/cc0000/ffffff"",""size"":""3XL"",""color"":""Green""}}],""categories"":[{""name"":""CN""},{""name"":""CN""}]}";"{""name"":""Shuffletag"",""contactNum"":98565632040,""address"":""3 Stuart Road""}"
"{""name"":""PhysiciansCare Non Aspirin"",""description"":""Unsp injury to unspecified level of lumbar spinal cord"",""detail"":{""price"":1373.65,""image"":""http://dummyimage.com/225x100.png/dddddd/000000"",""size"":""XL"",""color"":""Red""},""vendor"":{""name"":""Thoughtworks"",""contactNum"":81128746426,""address"":""27 Superior Center""},""variants"":[{""detail"":{""price"":503.57,""image"":""http://dummyimage.com/123x100.png/5fa2dd/ffffff"",""size"":""S"",""color"":""Orange""}},{""detail"":{""price"":3258.33,""image"":""http://dummyimage.com/223x100.png/dddddd/000000"",""size"":""XS"",""color"":""Aquamarine""}},{""detail"":{""price"":5452.63,""image"":""http://dummyimage.com/219x100.png/5fa2dd/ffffff"",""size"":""2XL"",""color"":""Blue""}}],""categories"":[{""name"":""SY""},{""name"":""RU""},{""name"":""BR""}]}";"{""name"":""Devpoint"",""contactNum"":40805280528,""address"":""28453 Sunbrook Crossing""}"
"{""name"":""EZY-TM"",""description"":""Car occupant injured in noncollision transport accident"",""detail"":{""price"":8868.52,""image"":""http://dummyimage.com/127x100.png/ff4444/ffffff"",""size"":""2XL"",""color"":""Blue""},""vendor"":{""name"":""Thoughtstorm"",""contactNum"":52667842356,""address"":""28 Swallow Trail""},""variants"":[{""detail"":{""price"":6127.51,""image"":""http://dummyimage.com/173x100.png/5fa2dd/ffffff"",""size"":""XL"",""color"":""Orange""}}],""categories"":[{""name"":""RU""},{""name"":""CL""},{""name"":""BR""}]}";"{""name"":""Realcube"",""contactNum"":78601284092,""address"":""53596 Banding Hill""}"
"{""name"":""LiverActive"",""description"":""Oth fx shaft of unsp femur, subs for clos fx w malunion"",""detail"":{""price"":1251.76,""image"":""http://dummyimage.com/175x100.png/dddddd/000000"",""size"":""M"",""color"":""Green""},""vendor"":{""name"":""Riffpedia"",""contactNum"":87795055755,""address"":""9838 Kinsman Court""},""variants"":[{""detail"":{""price"":6315.12,""image"":""http://dummyimage.com/131x100.png/cc0000/ffffff"",""size"":""S"",""color"":""Indigo""}},{""detail"":{""price"":8586.39,""image"":""http://dummyimage.com/249x100.png/dddddd/000000"",""size"":""M"",""color"":""Aquamarine""}}],""categories"":[{""name"":""CA""},{""name"":""CN""}]}";"{""name"":""Skyndu"",""contactNum"":48772525639,""address"":""62037 Golf Course Street""}"
